 Tweet ID,Country,Date,Tweet,Definitely English,Ambiguous,Definitely Not English,Code-Switched,Ambiguous due to Named Entities,Automatically Generated Tweets,Emotion Category,Sentiment Label,Sentiment by Country,Likes,Retweets,Replies,Tweet Length,User Activity Level,Is Automated,Code-Switched Sentiment
434215992731136000,TR,2014-02-14,Bugün bulusmami lazimdiii,0,0,1,0,0,0,Fear,Negative,AR,478,169,140,25,Moderately Active,Yes,
285903159434563584,TR,2013-01-01,Volkan konak adami tribe sokar yemin ederim :D,0,0,1,0,0,0,Fear,Positive,AG,949,194,175,46,Moderately Active,No,
285948076496142336,NL,2013-01-01,Bed,1,0,0,0,0,0,Disgust,Positive,SE,713,343,212,3,Highly Active,Yes,
285965965118824448,US,2013-01-01,I felt my first flash of violence at some fool who bumped into me.... I pity the fool.,1,0,0,0,0,0,Joy,Positive,LS,192,348,254,86,Moderately Active,Yes,
286057979831275520,US,2013-01-01,Ladies drink and get in free till 10:30,1,0,0,0,0,0,Surprise,Positive,EE,291,184,225,39,Highly Active,Yes,
286101218818924545,NL,2013-01-01,@Melanynijholtxo ahhahahahah dm!,0,1,0,0,0,0,Anger,Positive,SY,863,97,90,32,Moderately Active,No,
286176649219829760,US,2013-01-01,Fuck,0,1,0,0,0,0,Sadness,Positive,KR,71,279,26,4,Rarely Active,Yes,
286216100784521216,GB,2013-01-01,Watching #Miranda On bbc1!!! @mermhart u r HILARIOUS ❤💋,1,0,0,0,0,0,Neutral,Negative,GH,165,114,295,55,Highly Active,Yes,
286237546122457089,RS,2013-01-01,@StizZsti fino,0,0,1,0,0,0,Joy,Positive,LU,538,423,31,14,Moderately Active,No,
286282349925257216,US,2013-01-02,Shopping! (@ Kohl's) http://t.co/I8ZkQHT9,1,0,0,0,0,0,Neutral,Neutral,TZ,297,145,235,41,Rarely Active,Yes,
286306802637889537,MX,2013-01-02,@Mizzh_ celos es tu segundo nombre,0,0,1,0,0,0,Anger,Positive,AR,981,138,77,34,Rarely Active,Yes,
286327245667201025,CA,2013-01-02,@emilyroxxxx @melanienasson hahahahahah awww,0,1,0,0,0,0,Anger,Neutral,NG,456,211,280,44,Highly Active,No,
286350423126851584,MY,2013-01-02,@BeGinkiTh otak ang semangat nak blajaq !,0,0,1,0,0,0,Joy,Positive,SE,11,287,264,41,Highly Active,No,
286469201806376961,BR,2013-01-02,Quiero jugar tenis ♥,0,0,1,0,0,0,Joy,Neutral,TR,934,447,230,20,Moderately Active,Yes,
286490978771144704,US,2013-01-02,Yessss ^_^,1,0,0,0,0,0,Joy,Positive,CU,105,336,183,10,Moderately Active,No,
286493100866686976,BR,2013-01-02,#fome (@ Picanha do Neto) http://t.co/8Bj6zaWx,0,0,1,0,0,0,Anger,Positive,HU,374,236,223,46,Rarely Active,Yes,
286525170670243840,US,2013-01-02,@Dennycrowe all over twitter because you and your friends cant stick up for yourselves.,1,0,0,0,0,0,Disgust,Positive,NE,622,358,146,87,Moderately Active,Yes,
286675485902139392,BR,2013-01-03,"@JuanChrystma chama e puxa, veem e vai...",0,0,1,0,0,0,Sadness,Neutral,MA,403,301,93,41,Rarely Active,No,
286826850204934144,ID,2013-01-03,Tirta gangga w/@dayu_renita @tamancrizz @mika_mahayekti http://t.co/xemAXjUz,0,0,1,0,0,0,Joy,Positive,QA,178,371,219,76,Rarely Active,Yes,
286916662836490241,US,2013-01-03,"~ i'm falling apart,with a broken heart,barely breathing.",1,0,0,0,0,0,Anger,Positive,JM,506,433,79,57,Rarely Active,Yes,
286927073078018048,US,2013-01-03,"@CP_UDASHIT oh my god, we go way back #lovethis #rahrahrah",1,0,0,0,0,0,Anger,Positive,XK,674,82,166,58,Rarely Active,Yes,
286927433498759168,US,2013-01-03,"The way you treat me. The way you accept me, and love me. How much you care about me. That's what makes you perfect.",1,0,0,0,0,0,Disgust,Neutral,SG,650,56,255,116,Highly Active,No,
286941320851890177,US,2013-01-03,I just wanna get pulled on the sled by the four wheeler again!!!!!! #goodshit,1,0,0,0,0,0,Joy,Positive,MY,162,400,129,77,Rarely Active,No,
286949739071672321,IE,2013-01-03,"Oh there's that fake door slam noise , ugh #CBB",1,0,0,0,0,0,Joy,Neutral,UA,262,167,56,47,Rarely Active,No,
286958983368036352,US,2013-01-03,@Taybaybay_19 cool... Wanna see when u get it!,1,0,0,0,0,0,Joy,Positive,LY,997,462,5,46,Moderately Active,No,
287013601330479105,US,2013-01-04,@del_webb13 hahaa I never get told to be a post... 😕 But I'll most likely guard yaaaa!,1,0,0,0,0,0,Fear,Positive,LB,886,197,125,86,Moderately Active,Yes,
287043679011631105,BR,2013-01-04,vou começar pela melhor metade (8),0,0,1,0,0,0,Sadness,Neutral,AZ,691,123,207,34,Rarely Active,Yes,
287056970421268480,US,2013-01-04,@Opucar91 @tim_allen111 I'm in Tennessee.. Only bears and mountain lions round these parts,1,0,0,0,0,0,Joy,Negative,AM,810,343,116,90,Moderately Active,Yes,
287083436844412928,US,2013-01-04,Can't do right without doing wrong first,1,0,0,0,0,0,Sadness,Neutral,SE,612,254,60,40,Highly Active,No,
287085647129354240,MX,2013-01-04,Tweet 4484 Dedicado a @ZayraIzquierdo_ :*,0,0,1,0,0,0,Sadness,Positive,BS,364,63,114,41,Moderately Active,No,
287272742481432577,US,2013-01-04,@FlaccidDaddy and goodluck on that young occupation,1,0,0,0,0,0,Disgust,Positive,LS,855,196,277,51,Highly Active,No,
287304673470337025,GB,2013-01-04,@kiapegg ahh okay how old ate you I am 13,1,0,0,0,0,0,Disgust,Positive,SG,365,463,121,41,Highly Active,Yes,
287311564976037889,MX,2013-01-04,"\@erikitalaran: @supermery1969 @pagemasteragain @sococampos Jajajaja bolitaaaaaa!!!!\"" siiii!!!""",0,0,1,0,0,0,Anger,Negative,NO,514,11,284,96,Moderately Active,No,
287388987629395971,ID,2013-01-05,"Mampir ke bandung sini ajak si cantik \@revavirginari: Hay mommy. Rindu deh kecup dongs dongs RT @Da_SickGirl: Aseeek!""",0,0,1,0,0,0,Anger,Neutral,LB,877,443,214,119,Highly Active,No,
287459359477358592,MX,2013-01-05,@Paty_VanGogh rangoo???? Regalame el reloj mejor xDDDDDDDDDD,0,0,1,0,0,0,Fear,Neutral,DO,238,103,300,60,Moderately Active,No,
287510915979558913,ID,2013-01-05,"yo otw ki \@Vhitri_a: Rpp kw kan cah selo \""@tebeeng: lg jrug tkan ngomah iki \""@Vhitri_a: Kw wae le rene pie \""@tebeeng: hoo \""@Vhitri_a: Kad""",0,0,1,0,0,0,Neutral,Positive,JO,840,111,75,143,Highly Active,No,
